1.01,50.85
0.01,50.85
0.01,50.85
0.01,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
0.01,50.85
1.01,50.85
0.01,50.85
0.01,50.85
1.01,50.85
1.01,50.86
0.01,50.86
0.01,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.84
-1.99,50.85
-0.99,50.85
-0.99,50.84
-0.99,50.84
-0.99,50.85
-0.99,50.84
-0.99,50.84
-0.99,50.84
-0.99,50.84
-0.99,50.84
-0.99,50.84
-2.99,50.84
-1.99,50.84
-1.99,50.84
-2.99,50.84
-2.99,50.84
-2.99,50.84
-1.99,50.84
-1.99,50.84
-1.99,50.84
-2.99,50.84
-2.99,50.85
-2.99,50.85
-2.99,50.84
-1.99,50.85
-1.99,50.85
-1.99,50.85
-2.99,50.85
-1.99,50.85
-1.99,50.85
-1.99,50.85
-2.99,50.85
-1.99,50.85
-1.99,50.85
-1.99,50.85
-1.99,50.85
-1.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-1.99,50.85
-1.99,50.85
-0.99,50.85
-0.99,50.85
-1.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
-1.99,50.85
0.01,50.85
0.01,50.85
0.01,50.84
-0.99,50.84
-0.99,50.84
-0.99,50.84
-1.99,50.84
-1.99,50.83
-0.99,50.84
-0.99,50.84
-1.99,50.84
-1.99,50.84
-1.99,50.84
-1.99,50.84
-1.99,50.84
-1.99,50.84
-1.99,50.84
-1.99,50.83
-1.99,50.83
-1.99,50.84
-0.99,50.84
0.01,50.84
0.01,50.84
0.01,50.84
1.01,50.84
1.01,50.84
1.01,50.84
1.01,50.84
1.01,50.84
1.01,50.83
1.01,50.84
1.01,50.84
1.01,50.83
1.01,50.84
1.01,50.85
0.01,50.85
0.01,50.85
0.01,50.85
1.01,50.85
1.01,50.85
1.01,50.84
1.01,50.85
0.01,50.85
0.01,50.84
1.01,50.84
1.01,50.85
1.01,50.85
1.01,50.85
0.01,50.85
0.01,50.85
0.01,50.84
1.01,50.85
1.01,50.85
2.01,50.85
2.01,50.85
1.01,50.85
1.01,50.85
1.01,50.85
1.01,50.85
1.01,50.85
1.01,50.85
1.01,50.85
1.01,50.85
0.01,50.85
0.01,50.85
0.01,50.85
0.01,50.86
0.01,50.86
0.01,50.86
0.01,50.85
0.01,50.86
0.01,50.86
0.01,50.86
1.01,50.85
1.01,50.85
1.01,50.85
1.01,50.86
1.01,50.85
0.01,50.86
0.01,50.85
0.01,50.85
0.01,50.85
0.01,50.85
1.01,50.86
1.01,50.86
1.01,50.86
1.01,50.85
1.01,50.85
0.01,50.85
0.01,50.85
0.01,50.85
1.01,50.85
1.01,50.85
0.01,50.85
0.01,50.85
0.01,50.85
-0.99,50.84
0.01,50.84
1.01,50.85
1.01,50.85
0.01,50.85
1.01,50.85
1.01,50.85
1.01,50.84
0.01,50.84
0.01,50.84
0.01,50.84
0.01,50.84
0.01,50.85
-0.99,50.84
-0.99,50.85
0.01,50.85
0.01,50.86
-0.99,50.85
0.01,50.85
0.01,50.85
0.01,50.85
0.01,50.85
0.01,50.85
0.01,50.85
-0.99,50.85
-1.99,50.85
-1.99,50.85
-0.99,50.85
-1.99,50.85
-1.99,50.85
-1.99,50.85
-1.99,50.85
-1.99,50.85
-1.99,50.85
-0.99,50.85
-0.99,50.85
-0.99,50.85
0.01,50.86
0.01,50.85
0.01,50.85
0.01,50.85
0.01,50.85
0.01,50.85
1.01,50.85
0.01,50.85
0.01,50.85
1.01,50.85
1.01,50.85
1.01,50.85
1.01,50.85
2.01,50.85
